student_id,dropped,year,semester,term,deadline,days_to_deadline,balance,fafsa,verification,academic_level,international,waiver,total_cc,total_check_cash,flywire,sponsored,returned_checks,last_login
013498,,2024,fall,16wk,08/27/2023,30,16541,0,0,senior,1,0,26387,772,15952,0,0,
013499,,2024,fall,16wk,08/27/2023,30,15883,0,0,junior,1,0,16694,125,16088,0,0,
013500,,2024,fall,16wk,08/27/2023,30,15817,0,0,senior,1,0,23299,1964,16188,0,0,
013501,,2024,fall,16wk,08/27/2023,30,12638,0,0,junior,1,0,13338,1518,16362,0,0,
013502,,2024,fall,16wk,08/27/2023,30,16912,0,0,junior,1,0,10048,1388,19831,0,0,
013503,,2024,fall,16wk,08/27/2023,30,16581,0,0,junior,1,0,8668,496,17501,0,0,
013504,,2024,fall,16wk,08/27/2023,30,13621,0,0,senior,1,0,13786,1095,11969,0,0,
013505,,2024,fall,16wk,08/27/2023,30,18739,0,0,junior,1,0,17888,1251,15595,0,0,
013506,,2024,fall,16wk,08/27/2023,30,12173,0,0,junior,1,0,16405,1968,16283,0,0,
013507,,2024,fall,16wk,08/27/2023,30,18457,0,0,sophmore,1,0,11870,133,17033,0,0,
013508,,2024,fall,16wk,08/27/2023,30,10300,0,0,sophmore,1,0,18036,1712,11311,0,0,
013509,,2024,fall,16wk,08/27/2023,30,12678,0,0,sophmore,1,0,2730,1227,11233,0,0,
013510,,2024,fall,16wk,08/27/2023,30,12039,0,0,sophmore,1,0,10421,1459,19270,0,0,
013511,,2024,fall,16wk,08/27/2023,30,19107,0,0,sophmore,1,0,16294,48,13328,0,0,
013512,,2024,fall,16wk,08/27/2023,30,11777,0,0,sophmore,1,0,13943,1845,16703,0,0,
013513,,2024,fall,16wk,08/27/2023,30,11611,0,0,sophmore,1,0,6222,1104,18634,0,0,
013514,,2024,fall,16wk,08/27/2023,30,15223,0,0,sophmore,1,0,28029,1020,10774,0,0,
013515,,2024,fall,16wk,08/27/2023,30,10160,0,0,sophmore,1,0,13121,1463,15042,0,0,
013516,,2024,fall,16wk,08/27/2023,30,14007,0,0,sophmore,1,0,10803,1579,17036,0,0,
013517,,2024,fall,16wk,08/27/2023,30,14086,0,0,sophmore,1,0,3822,939,14440,0,0,
013518,,2024,fall,16wk,08/27/2023,30,18981,0,0,sophmore,1,0,24824,57,15881,0,1,
013519,,2024,fall,16wk,08/27/2023,30,15476,0,0,sophmore,1,0,16007,501,11643,0,0,
013520,,2024,fall,16wk,08/27/2023,30,14057,0,0,sophmore,1,0,15840,583,18230,0,0,
013521,,2024,fall,16wk,08/27/2023,30,19413,0,0,sophmore,1,0,11580,63,18768,0,2,
013522,,2024,fall,16wk,08/27/2023,30,14969,0,0,sophmore,1,0,18157,1246,13248,0,0,
013523,,2024,fall,16wk,08/27/2023,30,13945,0,0,sophmore,1,0,8505,526,14147,0,0,
013524,,2024,fall,16wk,08/27/2023,30,12570,0,0,sophmore,1,0,28772,456,15268,0,0,
013525,,2024,fall,16wk,08/27/2023,30,15750,0,0,sophmore,1,0,15736,731,10084,0,0,
013526,,2024,fall,16wk,08/27/2023,30,18273,0,0,sophmore,1,0,2007,1385,15622,0,0,
013527,,2024,fall,16wk,08/27/2023,30,17101,0,0,sophmore,1,0,28070,731,10567,0,0,
013528,,2024,fall,16wk,08/27/2023,30,14828,0,0,sophmore,1,0,13612,1709,11441,0,0,
013529,,2024,fall,16wk,08/27/2023,30,17003,0,0,sophmore,1,0,3241,308,13638,0,0,
013530,,2024,fall,16wk,08/27/2023,30,11647,0,0,sophmore,1,0,26661,250,14899,0,0,
013531,,2024,fall,16wk,08/27/2023,30,19081,0,0,sophmore,1,0,11898,1933,18700,0,0,
013532,,2024,fall,16wk,08/27/2023,30,12965,0,0,sophmore,1,0,21212,1577,16914,0,0,
013533,,2024,fall,16wk,08/27/2023,30,12426,0,0,sophmore,1,0,11634,385,14769,0,0,
013534,,2024,fall,16wk,08/27/2023,30,14966,0,0,sophmore,1,0,1478,1555,11535,0,0,
013535,,2024,fall,16wk,08/27/2023,30,19303,0,0,sophmore,1,0,11575,1859,14506,0,0,
013536,,2024,fall,16wk,08/27/2023,30,14999,0,0,sophmore,1,0,27530,778,15390,0,0,
013537,,2024,fall,16wk,08/27/2023,30,17040,0,0,sophmore,1,0,7742,1781,11724,0,0,
013538,,2024,fall,16wk,08/27/2023,30,10685,0,0,sophmore,1,0,27011,554,18659,0,0,
013539,,2024,fall,16wk,08/27/2023,30,16235,0,0,sophmore,1,0,17132,648,17797,0,0,
013540,,2024,fall,16wk,08/27/2023,30,17312,0,0,sophmore,1,0,18281,870,14623,0,0,
013541,,2024,fall,16wk,08/27/2023,30,15355,0,0,senior,1,0,7203,1162,18727,0,0,
013542,,2024,fall,16wk,08/27/2023,30,19717,0,0,senior,1,0,27245,1913,17064,0,0,
013543,,2024,fall,16wk,08/27/2023,30,14014,0,0,junior,1,0,20664,768,18160,0,0,
013544,,2024,fall,16wk,08/27/2023,30,15957,0,0,junior,1,0,26370,869,13774,0,0,
013545,,2024,fall,16wk,08/27/2023,30,15757,0,0,junior,1,0,14560,1745,18919,0,0,
013546,,2024,fall,16wk,08/27/2023,30,18539,0,0,junior,1,0,22082,1001,18510,0,0,
013547,,2024,fall,16wk,08/27/2023,30,12352,0,0,junior,1,0,20087,105,13196,0,0,
013548,,2024,fall,16wk,08/27/2023,30,18754,0,0,junior,1,0,27497,498,18223,0,0,
013549,,2024,fall,16wk,08/27/2023,30,17907,0,0,junior,1,0,26066,1378,18571,0,0,
013550,,2024,fall,16wk,08/27/2023,30,17583,0,0,junior,1,0,13003,1986,11204,0,0,
013551,,2024,fall,16wk,08/27/2023,30,14176,0,0,senior,1,0,10966,588,17957,0,0,
013552,,2024,fall,16wk,08/27/2023,30,14509,0,0,senior,1,0,9410,1531,10331,0,0,
013553,,2024,fall,16wk,08/27/2023,30,10989,0,0,senior,1,0,28920,207,18474,0,0,
013554,,2024,fall,16wk,08/27/2023,30,12983,0,0,senior,1,0,25455,764,13148,0,0,
013555,,2024,fall,16wk,08/27/2023,30,14725,0,0,junior,1,0,14608,1392,19203,0,0,
013556,,2024,fall,16wk,08/27/2023,30,17899,0,0,junior,1,0,20562,526,12882,0,0,
013557,,2024,fall,16wk,08/27/2023,30,16302,0,0,junior,1,0,14798,1058,15765,0,0,
013558,,2024,fall,16wk,08/27/2023,30,18643,0,0,junior,1,0,8708,119,16177,0,0,
013559,,2024,fall,16wk,08/27/2023,30,10477,0,0,senior,1,0,17764,1493,10628,0,0,
