student_id,dropped,year,semester,term,deadline,days_to_deadline,balance,fafsa,verification,academic_level,international,waiver,total_cc,total_check_cash,flywire,sponsored,returned_checks,last_login
000001,1,2023,fall,16wk,08/27/2023,30,12166,0,0,senior,1,0,10023,4742,22180,0,0,
000002,1,2023,fall,16wk,08/27/2023,30,14596,0,0,junior,1,0,20811,2130,23464,0,0,
000003,1,2023,fall,16wk,08/27/2023,30,10186,0,0,senior,1,0,22780,6642,26497,0,0,
000004,1,2023,fall,16wk,08/27/2023,30,15785,0,0,junior,1,0,14317,8874,10877,0,0,
000005,1,2023,fall,16wk,08/27/2023,30,18039,0,0,junior,1,0,16123,8220,27103,0,0,
000006,1,2023,fall,16wk,08/27/2023,30,10969,0,0,junior,1,0,12480,3425,16503,0,0,
000007,1,2023,fall,16wk,08/27/2023,30,9843,0,0,senior,1,0,26826,7350,28048,0,0,
000008,1,2023,fall,16wk,08/27/2023,30,18009,0,0,junior,1,0,4989,5893,14174,0,0,
000009,1,2023,fall,16wk,08/27/2023,30,11223,0,0,junior,1,0,5531,2694,24614,0,0,
000010,1,2023,fall,16wk,08/27/2023,30,18201,0,0,sophmore,1,0,23383,5603,21556,0,0,
000011,1,2023,fall,16wk,08/27/2023,30,18581,0,0,sophmore,1,0,22892,1714,10325,0,0,
000012,1,2023,fall,16wk,08/27/2023,30,14020,0,0,sophmore,1,0,22223,8492,22811,0,0,
000013,1,2023,fall,16wk,08/27/2023,30,16975,0,0,sophmore,1,0,12646,3264,24144,0,0,
000014,1,2023,fall,16wk,08/27/2023,30,19077,0,0,sophmore,1,0,22096,9760,15772,0,0,
000015,1,2023,fall,16wk,08/27/2023,30,15039,0,0,sophmore,1,0,19844,6974,18854,0,0,
000016,1,2023,fall,16wk,08/27/2023,30,9330,0,0,sophmore,1,0,28199,7038,26551,0,0,
000017,1,2023,fall,16wk,08/27/2023,30,9938,0,0,sophmore,1,0,19933,8121,23212,0,0,
000018,1,2023,fall,16wk,08/27/2023,30,19440,0,0,sophmore,1,0,23953,4200,13638,0,0,
000019,1,2023,fall,16wk,08/27/2023,30,10629,0,0,sophmore,1,0,22406,8035,26972,0,0,
000020,1,2023,fall,16wk,08/27/2023,30,17347,0,0,sophmore,1,0,9877,3036,23783,0,0,
000021,1,2023,fall,16wk,08/27/2023,30,14557,0,0,sophmore,1,0,17050,2187,11272,0,1,
000022,1,2023,fall,16wk,08/27/2023,30,11526,0,0,sophmore,1,0,15833,5792,10237,0,0,
000023,1,2023,fall,16wk,08/27/2023,30,19200,0,0,sophmore,1,0,5179,5943,15684,0,0,
000024,1,2023,fall,16wk,08/27/2023,30,10558,0,0,sophmore,1,0,26611,1820,16661,0,0,
000025,1,2023,fall,16wk,08/27/2023,30,16788,0,0,sophmore,1,0,8984,6545,27549,0,2,
000026,1,2023,fall,16wk,08/27/2023,30,19453,0,0,sophmore,1,0,17788,4322,17183,0,0,
000027,1,2023,fall,16wk,08/27/2023,30,18617,0,0,sophmore,1,0,10882,8118,25707,0,0,
000028,1,2023,fall,16wk,08/27/2023,30,11703,0,0,sophmore,1,0,18631,856,14316,0,0,
